Timestamp,Name,Email,College,Department,Q1,Q2,Q3,Q4,Q5
01-01-2026,Rahul,ravi@gmail.com,AIT,CSE,A,C,A,D,B
01-01-2026,Amit,amit@gmail.com,AIT,ISE,A,B,B,C,B
01-01-2026,Priya,priya@gmail.com,AIT,CSE,A,C,C,C,C
01-01-2026,Neha,neha@gmail.com,AIT,ISE,B,A,D,A,A
01-01-2026,Ravi,ravi@gmail.com,AIT,ISE,A,B,D,A,B
01-01-2026,Anjali,anjali@gmail.com,AIT,CSE,C,C,C,A,A
01-01-2026,Karan,karan@gmail.com,AIT,ISE,B,D,A,B,A
01-01-2026,Simran,simran@gmail.com,AIT,CSE,A,D,B,A,D
01-01-2026,Arjun,arjun@gmail.com,AIT,CSE,A,A,B,D,C
01-01-2026,Meena,meena@gmail.com,AIT,ISE,D,B,B,A,B
